season,phase,round_name,game_code,date,round_code,game_url,date_time,d,m,y,game_date,home_adv,prob_pred,winner,winner_pred,correct_pred,where,team,points,team_code,win_points,expected_prob,mov,elo_prev,elo_new,pt_diff,elo_diff
2001,RS,Round 2,19,2001 October 18 18:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=19&seasoncode=E2001,2001-10-18T16:00:00Z,18,10,2001,2001-10-18,-100,WRO,WRO,WRO,TRUE,away,Maccabi Elite,65,TEL,0,0.3379756485461821,1.4187293924042867,1309.6950951717733,1297.707695509039,-14,-116.79542177413055
2001,RS,Round 2,23,2001 October 18 19:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=23&seasoncode=E2001,2001-10-18T17:30:00Z,18,10,2001,2001-10-18,100,LON,LJU,LON,FALSE,home,Kinder London Towers,58,LON,0,0.5925995933690306,2.228092967150556,1272.1053277554886,1239.0961530974432,-33,65.09595640024622
2001,RS,Round 2,23,2001 October 18 19:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=23&seasoncode=E2001,2001-10-18T17:30:00Z,18,10,2001,2001-10-18,-100,LON,LJU,LON,FALSE,away,Union Olimpija,91,LJU,1,0.40740040663096944,2.472905774447077,1307.0093713552424,1343.645445264674,33,-65.09595640024622
2001,RS,Round 2,22,2001 October 18 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=22&seasoncode=E2001,2001-10-18T18:00:00Z,18,10,2001,2001-10-18,100,FRA,FRA,PER,FALSE,home,Peristeri,89,PER,0,0.6542959307773314,0.5809302343114919,1291.7716075394983,1282.26910033011,-4,110.8278910992392
2001,RS,Round 2,22,2001 October 18 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=22&seasoncode=E2001,2001-10-18T18:00:00Z,18,10,2001,2001-10-18,-100,FRA,FRA,PER,FALSE,away,Opel Skyliners,93,FRA,1,0.3457040692226686,0.6939654328411607,1280.943716440259,1292.2951854104617,4,-110.8278910992392
2001,RS,Round 2,24,2001 October 18 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=24&seasoncode=E2001,2001-10-18T18:00:00Z,18,10,2001,2001-10-18,100,ZAL,ULK,ZAL,FALSE,home,Zalgiris,79,ZAL,0,0.5739905257514175,0.5368184356682827,1275.5563147317307,1267.8530973286734,-3,51.79418652344316
2001,RS,Round 2,24,2001 October 18 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=24&seasoncode=E2001,2001-10-18T18:00:00Z,18,10,2001,2001-10-18,-100,ZAL,ULK,ZAL,FALSE,away,Ulker,82,ULK,1,0.4260094742485825,0.583227948747765,1323.7621282082875,1332.1313111316538,3,-51.79418652344316
2001,RS,Round 2,21,2001 October 18 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=21&seasoncode=E2001,2001-10-18T18:30:00Z,18,10,2001,2001-10-18,100,BAR,VIR,BAR,FALSE,home,FC Barcelona,69,BAR,0,0.6421153884512629,1.300229901541306,1322.3704198310002,1301.4979791233966,-16,101.54802126914115
2001,RS,Round 2,21,2001 October 18 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=21&seasoncode=E2001,2001-10-18T18:30:00Z,18,10,2001,2001-10-18,-100,BAR,VIR,BAR,FALSE,away,Kinder Bologna,85,VIR,1,0.3578846115487371,1.5301668534413775,1320.822398561859,1345.385990649178,16,-101.54802126914115
2001,RS,Round 2,28,2001 October 18 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=28&seasoncode=E2001,2001-10-18T18:00:00Z,18,10,2001,2001-10-18,100,CSK,PAN,CSK,FALSE,home,CSKA Moscow,85,CSK,0,0.6157894568973283,0.7256987982228874,1291.1196691635978,1279.9477274428798,-6,81.94518832454742
2001,RS,Round 2,28,2001 October 18 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=28&seasoncode=E2001,2001-10-18T18:00:00Z,18,10,2001,2001-10-18,-100,CSK,PAN,CSK,FALSE,away,Panathinaikos,91,PAN,1,0.38421054310267166,0.8275219731164907,1309.1744808390504,1321.9139634989506,6,-81.94518832454742
2001,RS,Round 2,27,2001 October 18 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=27&seasoncode=E2001,2001-10-18T18:30:00Z,18,10,2001,2001-10-18,100,FOR,FOR,FOR,TRUE,home,Skipper Bologna,109,FOR,1,0.6461499437130073,2.0176555645013514,1289.2299572758973,1307.0786456525614,30,104.60561672183553
2001,RS,Round 2,27,2001 October 18 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=27&seasoncode=E2001,2001-10-18T18:30:00Z,18,10,2001,2001-10-18,-100,FOR,FOR,FOR,TRUE,away,Buducnost,79,BUD,0,0.35385005628699273,2.386189071803614,1284.6243405540617,1263.5155121198338,-30,-104.60561672183553
2001,RS,Round 2,26,2001 October 18 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=26&seasoncode=E2001,2001-10-18T18:30:00Z,18,10,2001,2001-10-18,100,MAD,MES,MAD,FALSE,home,Real Madrid,87,MAD,0,0.6741972897479435,0.7022944853866676,1318.0496871756668,1306.2125612093514,-6,126.33292383564435
2001,RS,Round 2,26,2001 October 18 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=26&seasoncode=E2001,2001-10-18T18:30:00Z,18,10,2001,2001-10-18,-100,MAD,MES,MAD,FALSE,away,KRKA Novo Mesto,93,MES,1,0.32580271025205654,0.8602112164444168,1291.7167633400225,1306.2155651084627,6,-126.33292383564435
2001,RS,Round 3,36,2001 October 24 19:30 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=36&seasoncode=E2001,2001-10-24T17:30:00Z,24,10,2001,2001-10-24,100,IST,IST,IST,TRUE,home,Efes Pilsen,78,IST,1,0.6784246960564879,0.7005868819051108,1295.620425771138,1301.2527117583247,6,129.68758398305113
2001,RS,Round 3,36,2001 October 24 19:30 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=36&seasoncode=E2001,2001-10-24T17:30:00Z,24,10,2001,2001-10-24,-100,IST,IST,IST,TRUE,away,Alba Berlin,72,BER,0,0.3215753039435121,0.8627870303378466,1265.9328417880868,1258.9965667501015,-6,-129.68758398305113
2001,RS,Round 3,33,2001 October 24 20:30 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=33&seasoncode=E2001,2001-10-24T18:30:00Z,24,10,2001,2001-10-24,100,TRE,TRE,TRE,TRUE,home,Benetton Basket,86,TRE,1,0.6741454819318878,0.8246170825310946,1295.253530393824,1301.9711604442964,8,126.29195250664156
2001,RS,Round 3,33,2001 October 24 20:30 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=33&seasoncode=E2001,2001-10-24T18:30:00Z,24,10,2001,2001-10-24,-100,TRE,TRE,TRE,TRUE,away,Spirou Basket,78,CHA,0,0.32585451806811216,1.009972169478263,1268.9615778871823,1260.7339780234936,-8,-126.29195250664156
2001,RS,Round 3,35,2001 October 24 21:00 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=35&seasoncode=E2001,2001-10-24T19:00:00Z,24,10,2001,2001-10-24,100,WRO,OLY,OLY,TRUE,home,Olympiacos,101,OLY,1,0.6406869936143519,1.6207501734011691,1336.898409539149,1351.4573249742698,22,100.4691878226356
2001,RS,Round 3,35,2001 October 24 21:00 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=35&seasoncode=E2001,2001-10-24T19:00:00Z,24,10,2001,2001-10-24,-100,WRO,OLY,OLY,TRUE,away,Idea Slask,79,WRO,0,0.3593130063856481,1.9040578531258723,1336.4292217165134,1319.325402928042,-22,-100.4691878226356
2001,RS,Round 3,37,2001 October 24 20:30 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=37&seasoncode=E2001,2001-10-24T18:30:00Z,24,10,2001,2001-10-24,100,ULK,VIR,VIR,TRUE,home,Kinder Bologna,68,VIR,1,0.6574489322445258,0.8325031790748836,1345.385990649178,1352.5153619717262,8,113.25467951752421
2001,RS,Round 3,37,2001 October 24 20:30 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=37&seasoncode=E2001,2001-10-24T18:30:00Z,24,10,2001,2001-10-24,-100,ULK,VIR,VIR,TRUE,away,Ulker,60,ULK,0,0.34255106775547417,0.9983888511679572,1332.1313111316538,1323.5813319565852,-8,-113.25467951752421
2001,RS,Round 3,43,2001 October 24 18:15 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=43&seasoncode=E2001,2001-10-24T16:15:00Z,24,10,2001,2001-10-24,100,MES,FOR,MES,FALSE,home,KRKA Novo Mesto,94,MES,0,0.6389196012949897,0.7164513909053069,1306.2155651084627,1294.7716941828512,-6,99.1369194559013
2001,RS,Round 3,43,2001 October 24 18:15 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=43&seasoncode=E2001,2001-10-24T16:15:00Z,24,10,2001,2001-10-24,-100,MES,FOR,MES,FALSE,away,Skipper Bologna,100,FOR,1,0.3610803987050103,0.8398835958912696,1307.0786456525614,1320.4940979580877,6,-99.1369194559013
2001,RS,Round 3,46,2001 October 24 18:00 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=46&seasoncode=E2001,2001-10-24T16:00:00Z,24,10,2001,2001-10-24,100,CIB,CIB,CIB,TRUE,home,Cibona VIP,85,CIB,1,0.6539780392328834,0.8942695650557946,1290.9054916688276,1298.6414143777017,9,110.58380082575923
2001,RS,Round 3,46,2001 October 24 18:00 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=46&seasoncode=E2001,2001-10-24T16:00:00Z,24,10,2001,2001-10-24,-100,CIB,CIB,CIB,TRUE,away,Telindus Oostende,76,OOS,0,0.34602196076711655,1.0678527167405563,1280.3216908430684,1271.0841785716418,-9,-110.58380082575923
2001,RS,Round 3,48,2001 October 24 19:00 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=48&seasoncode=E2001,2001-10-24T17:00:00Z,24,10,2001,2001-10-24,100,BAS,AEK,AEK,TRUE,home,AEK Athens,85,AEK,1,0.6469110272754708,0.5156694856936038,1317.3004853798898,1321.8524156041133,3,105.18415993069357
2001,RS,Round 3,48,2001 October 24 19:00 CET,3,https://www.euroleague.net/main/results/showgame?gamecode=48&seasoncode=E2001,2001-10-24T17:00:00Z,24,10,2001,2001-10-24,-100,BAS,AEK,AEK,TRUE,away,Tau Ceramica,82,BAS,0,0.3530889727245292,0.6104275415417669,1312.1163254491962,1306.7279446100526,-3,-105.18415993069357
